ID;Группа проверок/Модуль;Приоритет;Проверка;Результат
1;Авторизация;Высокий;Вход по логину и паролю;Успешный вход в аккаунт
2;Авторизация;Высокий;Выход из аккаунта;Успешный выход из аккаунта
3;Авторизация;Высокий;Вход с пустыми полями логина и пароля;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.'
4;Авторизация;Высокий;Вход с пробелами вместо логина/пароля;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.'
5;Авторизация;Высокий;Ввод несуществующего логина/пароля;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.'
6;Авторизация;Высокий;Ввод на кириллице логина/пароля;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.'
7;Авторизация;Высокий;Ввод спецсимволов в полях логина/пароля;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.'
8;Авторизация;Высокий;Ввод граничного значения в полях логина/пароля;Значение обрезается на установленном лимите символов
9;Авторизация;Высокий;Ввод пароля в неверном регистре (Caps Lock);Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.'
10;Авторизация;Высокий;Ввод SQL-инъекции в поле логина (напр. ' OR 1=1 --);Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.'
12;Авторизация;Высокий;Отображение пароля при вводе (маскирование);Пароль отображается в виде точек (скрыт)
13;Авторизация;Высокий;Входящий телефонный звонок в момент авторизации;"Приложение уходит в фон; после звонка форма логина сохранена, данные не стерты"
14;Авторизация;Высокий;Сворачивание приложения и переключение между задачами;Состояние полей ввода сохраняется при возврате в приложение
15;Авторизация;Высокий;Попытка входа при слабом 2G/3G сигнале;"Отображается лоадер; при таймауте — понятное сообщение: «Проблемы с сетью»"
16;Авторизация;Высокий;Переключение с Wi-Fi на мобильный интернет при входе;Сессия не обрывается, авторизация проходит корректно
17;Авторизация;Средний;Перекрытие полей ввода виртуальной клавиатурой;При фокусе на поле 'Password' экран скроллится вверх, кнопка 'SIGN IN' не перекрыта
18;Авторизация;Средний;Соответствие типа клавиатуры (Input Type);Для логина/почты предлагается клавиатура с символом @ (если логин — email)
19;Авторизация;Средний;Скрытие клавиатуры при тапе по пустому месту экрана;Клавиатура убирается, открывая обзор всей формы
20;Авторизация;Высокий;Поворот экрана из портретного в ландшафтный режим;Верстка не «едет», все поля и кнопка 'SIGN IN' доступны для взаимодействия
21;Авторизация;Средний;Наличие плейсхолдеров (подсказок) внутри полей;Текст 'Login/Password' исчезает при начале ввода и появляется при очистке
22;Авторизация;Высокий;Отображение формы в Темной теме (Dark Mode);Текст логина и пароля остается контрастным и читаемым
23;Навигация;Высокий;Переход в раздел 'News' в раскрывающемся списке при нажатии кнопки 'гамбургер';Осуществлен переход на страницу новостей
24;Навигация;Высокий;Переход в раздел 'Main' в раскрывающемся списке при нажатии кнопки 'гамбургер';Осуществлен переход на главную страницу
25;Навигация;Высокий;Переход в раздел 'About' в раскрывающемся списке при нажатии кнопки 'гамбургер';Осуществлен переход на страницу с информацией
26;Навигация;Высокий;Переход по кнопке 'бабочка';Осуществлен переход на страницу 'Love is all'
27;Навигация;Высокий;Нажатие системной кнопки «Назад» (Android) или свайп назад (iOS);Возврат на предыдущий экран в логической последовательности, а не выход из приложения
28;Навигация;Высокий;Закрытие меню-гамбургера свайпом влево или тапом по пустой области;Меню скрывается без выбора пункта, пользователь остается на текущем экране
29;Навигация;Средний;Многократное быстрое нажатие на один и тот же пункт меню;Экран не открывается несколько раз (не создается «слоеный пирог» из страниц)
30;Навигация;Средний;Sticky Header (закрепленное меню);Верхняя панель с кнопками меню и человечком остается видимой при скролле новостей вниз
31;Навигация;Высокий;Переход из раздела 'News' в 'About' и обратно через кноаку 'гамбургер';Переходы осуществляются без задержек, состояние страниц сохраняется
32;Навигация;Высокий;Поведение при потере связи во время перехода между разделами;Отображение сообщения «Нет подключения» вместо бесконечного лоадера
33;Навигация;Средний;Скорость анимации раскрытия меню-гамбургера;Анимация плавная, без «фризов» (подтормаживаний) кадров
34;Навигация;Средний;Размер зон нажатия (Touch targets) в меню;Пункты 'Main', 'News', 'About' имеют достаточную высоту для исключения ложных нажатий
35;Навигация;Средний;Сохранение позиции скролла при переключении между 'Main' и 'News';Если пользователь пролистал новости, ушел в меню и вернулся — позиция скролла сохранилась
36;Цитаты;Высокий;Отображение и раскрытие цитат;Корректное отображение и раскрытие цитат
37;Цитаты;Высокий;Одновременное раскрытие нескольких цитат;Несколько цитат одновременно раскрываются и корректно отображаются
38;Цитаты;Высокий;Повторное нажатие на раскрытую цитату;Цитата корректно сворачивается обратно
39;Цитаты;Высокий;Отображение очень длинной цитаты;Текст не выходит за границы экрана, появляется внутренний скролл или блок растягивается
40;Цитаты;Высокий;Поведение при отсутствии цитат (ошибка сервера);Отображается заглушка «Цитат сегодня нет, заходите позже» или «Попробуйте обновить»
41;Цитаты;Высокий;Наличие одинаковых цитат в списке;Каждая цитата уникальна (проверка фильтрации данных на бэкенде/фронте)
42;Цитаты;Высокий;Скролл списка цитат рывками (Fling);Список прокручивается плавно, без «заиканий» анимации
43;Цитаты;Высокий;Шрифты и читаемость;Текст цитат контрастен фону, легко читается при разном освещении
44;Цитаты;Высокий;Отображение раскрытой цитаты при повороте экрана;Состояние (раскрыта/свернута) сохраняется, текст перестраивается под новую ширину
45;О приложении;Высокий;Переход по ссылке 'Privacy Policy';Открытие ссылки в браузере
46;О приложении;Высокий;Переход по ссылке 'Terms of use';Открытие ссылки в браузере
47;О приложении;Высокий;Попытка открыть ссылки без интернета;Сообщение «Проверьте соединение» или кэшированная версия документа
48;О приложении;Высокий;HTTPS протокол для ссылок;Ссылки ведут на защищенные ресурсы (https), а не на небезопасные (http)
49;О приложении;Средний;Свайп назад из открытого документа;Пользователь возвращается на экран 'About' привычным жестом
50;О приложении;Средний;Возврат в приложение после длительного чтения политики;Приложение не перезагружается (не «вылетает» из памяти) после возврата из браузера
;О приложении;Высокий;Возврат из раздела 'About';Произошел переход на предыдущую страницу, с которой открывался раздел 'About'
51;О приложении;Высокий;Отображение страницы в Темной теме (Dark Mode);Фон и текст ссылок корректно инвертированы, ссылки остаются заметными (синими/акцентными)
52;Главная страница;Высокий;Отображение и возможность раскрытия новостей нажатием на стрелочку;Корректное отображение и раскрытие новостей
53;Главная страница;Высокий;Кнопка 'ALL NEWS';Осуществлен переход на страницу со всеми новостями
54;Главная страница;Высокий;Раскрытие выпадающего списка 'News';Список разворачивается плавно, кнопка 'ALL NEWS' становится видимой и кликабельной
55;Главная страница;Высокий;Переход по кнопке 'ALL NEWS';Открывается целевой экран (даже если он изначально «непрогружен»)
56;Главная страница;Высокий;Работа кнопки 'REFRESH' на пустой странице;При нажатии инициируется сетевой запрос, появляется индикатор загрузки (Spinner/Skeleton)
57;Главная страница;Высокий;Нажатие 'REFRESH' при отсутствии интернета;Появление Snack-bar или Toast-сообщения: «Ошибка обновления. Проверьте сеть»
58;Главная страница;Высокий;Отображение длинных заголовков в списке;Заголовок новости сокращается через многоточие (...) или переносится (не ломает ячейку)
59;Главная страница;Средний;Скролл списка из 100+ новостей;Плавность прокрутки (FPS), отсутствие «белых пятен» при быстрой перемотке
60;Главная страница;Средний;Возврат на Главную из раздела 'About';Страница не должна перезагружаться полностью, если данные уже были загружены ранее
61;Главная страница;Высокий;Клик по логотипу/названию в хедере;Тап по шапке возвращает пользователя в начало (вверх) списка
62;Новости;Высокий;Отображение и возможность раскрыть новости нажатием на стрелку;Корректное отображение и раскрытие новости
63;Новости;Высокий;Сортировка новостей (стрелки);Порядок новостей изменился (от новых к старым и наоборот)
64;Новости;Высокий;"Фильтрация новостей (иконка фильтра);";Открыта форма настройки фильтров
65;Новости;Высокий;Редактирование новостей (карандаш);Открыта страница редактирования новостей
66;Новости;Высокий;Кнопка 'REFRESH' при пустом списке новостей;Страница обновилась
67;Новости;Средний;Синхронизация данных с разделом 'Main';Новость, созданная или удаленная в одном разделе, мгновенно обновляется в другом
68;Новости;Высокий;Аккордеон-эффект: раскрытие новости тапом по заголовку;"Текст описания разворачивается плавно; остальные новости сдвигаются вниз без наложений"
69;Новости;Высокий;Поиск новостей за несуществующую дату (напр. 30 февраля);Календарь блокирует выбор 
70;Новости;Высокий;Применение нескольких фильтров одновременно (Категория + Период + Статус);Отображаются только те новости, которые соответствуют всем условиям
71;Новости;Высокий;Автоматический сброс фильтров при выходе из раздела;Если пользователь ушел в 'About' и вернулся в 'News', фильтры должны сброситься 
72;Новости;Высокий;Отображение списка при наличии 1000+ новостей;Приложение использует «ленивую загрузку» (Lazy loading) и не потребляет лишнюю оперативную память
73;Фильтр новостей;Высокий;Выбор значения в поле 'Category';Выбрана нужная категория из выпадающего списка
74;Фильтр новостей;Высокий;Выбор даты начала периода новостей (год-месяц-день): кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
75;Фильтр новостей;Высокий;Выбор даты окончания периода новостей (год-месяц-день): кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
76;Фильтр новостей;Высокий;Кнопка 'FILTER';Применены фильтры, отображены новости за период
77;Фильтр новостей;Высокий;Кнопка 'CANCEL';Окно фильтра закрыто без применения изменений
78;Фильтр новостей;Высокий;Выбор периода «Сегодня — Сегодня»;Отображаются новости, созданные только в текущие сутки
79;Фильтр новостей;Высокий;Дата начала позже даты окончания;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
80;Фильтр новостей;Низкий;Выбор будущей даты в фильтре;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
81;Фильтр новостей;Высокий;Скролл внутри выпадающего списка категорий;Если категорий много, список должен прокручиваться внутри окна фильтра
82;Фильтр новостей;Высокий;Работа Date Picker (календаря);Календарь адаптирован под экран (не выходит за границы), удобно выбирать пальцем
83;Фильтр новостей;Средний;Сохранение настроек при сворачивании приложения;Если пользователь настраивал фильтр и свернул апп, при возврате настройки на месте
;Фильтр новостей;Высокий;Скорость фильтрации при большом архиве новостей;Перестроение списка происходит плавно (появляется лоадер)
84;Фильтр новостей;Высокий;Время отклика после нажатия кнопки 'FILTER';Новости должны отфильтроваться быстро (до 1-2 сек), виден индикатор загрузки
;Фильтр новостей;Высокий;Нажатие кнопки 'FILTER'  без изменения параметров;Список просто обновляется, фильтры остаются прежними
;Фильтр новостей;Высокий;Поворот экрана с открытым окном фильтра;Окно адаптируется под ширину, кнопки 'FILTER'/'CANCEL' остаются в зоне видимости
85;Фильтр новостей;Высокий;Контрастность выбранных элементов в Dark Mode;Выбранные даты отчетливо видны
86;Панель управления;Высокий;Сортировка новостей (стрелки);Порядок новостей изменился (от новых к старым и наоборот)
87;Панель управления;Высокий;Фильтрация новостей (иконка фильтра);Открыта форма настройки фильтров
88;Панель управления;Высокий;Добавление новостей (+);Открыта форма создания новой новости
89;Панель управления;Высокий;Удаление новости (корзина);Появилось подтверждение. После подтверждения новость удалена из списка
90;Панель управления;Высокий;Развертывание новости;Появилось описание под новостью
91;Панель управления;Высокий;Редактирование новости (карандаш);Открылась форма с предзаполнеными полями новости
92;Панель управления;Высокий;Нажатие 'Cancel' в окне подтверждения;Удаление прервано, новость осталась в списке
93;Панель управления;Высокий;Длинное описание новости в режиме предпросмотра (развертывание);Текст не перекрывает кнопки «Карандаш» и «Корзина»
94;Панель управления;Высокий;Попытка удаления новости в Offline режиме;Вывод сообщения «Не удалось удалить. Проверьте интернет»
95;Панель управления;Высокий;Размер кнопок (Карандаш/Корзина);Кнопки управления расположены достаточно далеко друг от друга, чтобы исключить мисстапы (случайные нажатия)
96;Страница редактирования;Высокий;Изменение текста в поле 'Category';Новая категория успешно выбрана
97;Страница редактирования;Высокий;Изменение текста в поле 'Title';Текст заголовка успешно изменен
98;Страница редактирования;Высокий;Выбор даты публикации новости (год-месяц-день)/кнопки 'OK' и 'CANCEL';Выбирается нужная дата/кнопка 'OK' подтверждает выбор даты/кнопка 'CANCEL' осуществляет выход из календаря
99;Страница редактирования;Высокий;Выбор времени публикации новости (часы-минуты)/кнопки 'OK' и 'CANCEL';Выбрано нужное время/кнопка 'OK' подтверждает выбор даты/кнопка 'CANCEL' осуществляет выход из календаря
100;Страница редактирования;Высокий;Ввод времени через кнопку 'клавиатура'/кнопки 'OK' и 'CANCEL';Выбрано нужное время/кнопка 'OK' подтверждает выбор даты/кнопка 'CANCEL' осуществляет выход из календаря
101;Страница редактирования;Высокий;Изменение текста в поле 'Description';Текст описания успешно изменен
102;Страница редактирования;Высокий;Переключатель 'Active';Статус переключается между Активна и Неактивна
103;Страница редактирования;Высокий;"Кнопка 'SAVE';";Изменения сохранены, происходит перехд к списку новостей
104;Страница редактирования;Высокий;Кнопка 'CANCEL';Окно редактирования закрыто без применения изменений
105;Страница редактирования;Высокий;Предзаполнение полей при нажатии на «Карандаш»;Все поля (Category, Title, Date, Time, Description) содержат актуальные данные новости
106;Страница редактирования;Высокий;Сохранение с пустым заголовком ;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
107;Страница редактирования;Высокий;Сохранение с пробелами заголовка ('Title');Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
108;Страница редактирования;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в 'Title';Данные отображаются корректно, база данных не выдает ошибку
109;Страница редактирования;Средний;Границы заголовка;Границы заголовка от 1 до 60 символов
110;Страница редактирования;Высокий;Выбор прошедшей даты в поле 'Publication date';Прошешие даты визуально неактивны (серого цвета). Клик по ним не приводит к выбору даты
111;Страница редактирования;Высокий;Отмена выбора даты публикации;В форме редактирования поле даты публикации осталось с прежней датой
112;Страница редактирования;Высокий;Отмена выбора времени публикации;В форме редактирования поле времени публикации осталось прежним
113;Страница редактирования;Высокий;Валидация поля 'Time' путем ввода часов и минут через клавиатуру;При неккоректном вводе времени появилось сообщение об ошибке: 'Enter a valid time'
114;Страница редактирования;Высокий;Сохранение с пустым описанием;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
115;Страница редактирования;Высокий;Сохранение с пробелами в описании;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
116;Страница редактирования;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в 'Description';Данные отображаются корректно, база данных не выдает ошибку
117;Страница редактирования;Высокий;Границы описания;Границы заголовка от 1 до 2000 символов
118;Страница редактирования;Высокий;Редактирование даты на прошлую/будущую;Система позволяет (или запрещает — по ТЗ) менять время публикации
119;Страница редактирования;Высокий;Сворачивание приложения в процессе редактирования;При возврате введенный текст в полях Title/Description сохранен
120;Страница редактирования;Высокий;Нажатие системной кнопки «Назад» во время правки;Появление предупреждения: «У вас есть несохраненные изменения. Выйти?»
121;Страница редактирования;Высокий;Скрытие клавиатуры при нажатии «Done/Готово»;Клавиатура убирается, фокус с поля снимается, кнопка Save видна
122;Страница редактирования;Высокий;Доступ к нижним полям при открытой клавиатуре;Экран позволяет прокрутить содержимое до кнопки Save, не закрывая клавиатуру
123;Страница редактирования;Высокий;Нажатие 'SAVE' при обрыве связи;"Сообщение «Ошибка сохранения»; данные остаются в полях (не стираются)"
124;Страница редактирования;Высокий;Отображение очень длинного 'Description' в режиме правки;Поле ввода расширяется или появляется внутренний скролл
125;Страница редактирования;Высокий;Соответствие стиля шрифта в полях ввода;Шрифт при редактировании совпадает по стилю с тем, что видит пользователь в новости
126;Страница редактирования;Высокий;Цвет курсора и выделения текста в Dark Mode;Курсор контрастен фону, выделенный текст легко читается
127;Фильтр панели управления;Высокий;Выбор значения в поле 'Category';Выбрана нужная категория из выпадающего списка
128;Фильтр панели управления;Высокий;Выбор даты начала периода новостей (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
129;Фильтр панели управления;Высокий;Выбор даты окончания периода новостей (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
130;Фильтр панели управления;Высокий;Чек-бокс 'Active';Состояние чек-бокса меняется (установлен/снят)
131;Фильтр панели управления;Высокий;Чек-бокс 'Not active';Состояние чек-бокса меняется (установлен/снят)
132;Фильтр панели управления;Высокий;Кнопка 'FILTER';Применены фильтры, отображены новости за период
133;Фильтр панели управления;Высокий;Кнопка 'CANCEL';Окно фильтра закрыто без применения изменений
;Фильтр панели управления;Высокий;Скролл внутри выпадающего списка категорий;Если категорий много, список должен прокручиваться внутри окна фильтра
;Фильтр панели управления;Высокий;Выбор периода «Сегодня — Сегодня»;Отображаются новости, созданные только в текущие сутки
;Фильтр панели управления;Высокий;Дата начала позже даты окончания;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
;Фильтр панели управления;Высокий;Выбор будущей даты в фильтре;Форма фильтрации закрылась, список пуст отображается кнопка 'REFRESH'
;Фильтр панели управления;Высокий;Работа Date Picker (календаря);Календарь адаптирован под экран (не выходит за границы), удобно выбирать пальцем
134;Фильтр панели управления;Высокий;Установка обоих чек-боксов одновременно;Отображается полный список (и активные, и неактивные)
135;Фильтр панели управления;Высокий;Снятие обоих чек-боксов;Либо список пуст, либо кнопка «Filter» заблокирована (зависит от логики приложения)
137;Фильтр панели управления;Высокий;Нажатие кнопки 'FILTER'  без изменения параметров;Список просто обновляется, фильтры остаются прежними
138;Фильтр панели управления;Высокий;Скорость фильтрации при большом архиве новостей;Перестроение списка происходит плавно (появляется лоадер)
139;Фильтр панели управления;Высокий;Поворот экрана с открытым окном фильтра;Окно адаптируется под ширину, кнопки 'FILTER'/'CANCEL' остаются в зоне видимости
;Фильтр панели управления;Средний;Сохранение настроек при сворачивании приложения;Если пользователь настраивал фильтр и свернул апп, при возврате настройки на месте
;Фильтр панели управления;Высокий;Время отклика после нажатия кнопки 'FILTER';Новости должны отфильтроваться быстро (до 1-2 сек), виден индикатор загрузки
;Фильтр панели управления;Высокий;Контрастность выбранных элементов в Dark Mode;Галочки в чек-боксах и выбранные даты отчетливо видны
140;Создание новости;Высокий;Выбор значения в поле 'Category';Выбрана нужная категория из выпадающего списка
141;Создание новости;Высокий;Заполнение заголвок в поле 'Title' и ввести новый текст;Текст заголовка успешно заполнен
142;Создание новости;Высокий;Выбор даты публикации новости (год-месяц-день):кнопки 'OK' и 'CANCEL';Выбирается нужная дата. Кнопка 'OK' подтверждает выбор даты. Кнопка 'CANCEL' осуществляет выход из календаря
143;Создание новости;Высокий;Выбор времени публикации новости (часы-минуты):кнопки 'OK' и 'CANCEL';Выбрано нужное время. Кнопка 'OK' подтверждает выбор времени. Кнопка 'CANCEL' осуществляет выход из календаря
144;Создание новости;Высокий;Ввод времени через кнопку 'клавиатура':кнопки 'OK' и 'CANCEL';Выбрано нужное время. Кнопка 'OK' подтверждает выбор времени. Кнопка 'CANCEL' осуществляет выход из календаря
145;Создание новости;Высокий;Заполнение описание в поле 'Description';Текст описания успешно заполнен
146;Создание новости;Высокий;Кнопка 'SAVE';Новость сохранена, происходит переход к списку новостей
147;Создание новости;Высокий;Кнопка 'CANCEL';Окно создания новости закрыто
148;Создание новости;Высокий;Нажатие SAVE с полностью пустой формой;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак)
;Создание новости;;Сохранение с пустым заголовком;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
149;Создание новости;Высокий;Создание новости только с заголовком;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. Рядом с незаполненными обязательными полями отображается индикатор ошибки (восклицательный знак)
150;Создание новости;Высокий;Ввод в заголовок пробелы;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Title' отображается индикатор ошибки (восклицательный знак)
151;Создание новости;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в заголовок;Данные отображаются корректно, база данных не выдает ошибку
152;Создание новости;Высокий;Границы заголовка;Границы заголовка от 1 до 60 символов
154;Создание новости;Высокий;Выбор прошедшей даты в поле 'Publication date';Прошешие даты визуально неактивны (серого цвета). Клик по ним не приводит к выбору даты
155;Создание новости;Высокий;Отмена выбора даты публикации;В форме создания поле даты публикации осталось с прежней датой
156;Создание новости;Высокий;Отмена выбора времени публикации;В форме создания поле времени публикации осталось прежним
157;Создание новости;Высокий;Валидация поля 'Time' путем ввода часов и минут через клавиатуру;При неккоректном вводе времени появилось сообщение об ошибке: 'Enter a valid time'
158;Создание новости;Высокий;Сохранение с пустым описанием;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
159;Создание новости;Высокий;Сохранение с пробелами в описании;Форма не закрылась. Появилось сообщение об ошибке: 'Fill empty fields'. В поле 'Description' отображается индикатор ошибки (восклицательный знак)
160;Создание новости;Высокий;Ввод спецсимволов (Emoji, кавычки, слеши) в 'Description';Данные отображаются корректно, база данных не выдает ошибку
161;Создание новости;Высокий;Границы описания;Границы заголовка от 1 до 2000 символов
162;Создание новости;Высокий;Сворачивание приложения в процессе содания новости;При возврате введенный текст в полях сохранен
164;Создание новости;Высокий;Скрытие клавиатуры при нажатии «Done/Готово»;Клавиатура убирается, фокус с поля снимается, кнопка Save видна
165;Создание новости;Высокий;Доступ к нижним полям при открытой клавиатуре;Экран позволяет прокрутить содержимое до кнопки Save, не закрывая клавиатуру
166;Создание новости;Высокий;Нажатие 'SAVE' при обрыве связи;"Сообщение «Ошибка сохранения»; данные остаются в полях (не стираются)"
167;Создание новости;Высокий;Отображение очень длинного описания в режиме создания;Поле ввода расширяется или появляется внутренний скролл
168;Создание новости;Высокий;Соответствие стиля шрифта в полях ввода;Шрифт при создании совпадает по стилю с тем, что видит пользователь в новости
169;Создание новости;Высокий;Цвет курсора и выделения текста в Dark Mode;Курсор контрастен фону, выделенный текст легко читается
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
